id,variable descriptions
phv00012404.v1 , I3a. How many drinks of (type of beverage) did you have on (day)? How long in minutes did it take you to consume that amount? Last Monday. BEER/LITE BEER. Drinks. (Participants with European ancestry). DIGS2 
phv00093956.v1 ," IF SO, AGE AT TIME OF STROKE      Q51 "
phv00015538.v1 ," G62. #  of Mania I/P Hosp, (Participants with European ancestry). DIGS3 "
phv00054414.v1 , About how old were you the LAST time you had a period of two weeks like this?  (Whether or not you received any help for it?) Years of age when the most recent episode happened. (African American participants) 
phv00016097.v1 ," J55.a. Stims Age First 3 Sx's, (Participants with European ancestry). DIGS3 "
phv00050334.v1 ," B4c. Health care delivery. How many visits per year does the doctor who treats your diabetes recommend that you make to: education specialist, visits per year "
phv00016099.v1 ," J55.a. Opioids Age First 3 Sx's, (Participants with European ancestry). DIGS3 "
phv00013565.v1 ," K30. When you heard the voices, did you also see the person talking, even though others did not see that person? Other medications. (Participants with European ancestry). DIGS2 "
phv00052767.v1 ," J42 Opiates, (African American participants). DIGS4 "
phv00113104.v2 ," AGE, DX OF GALLSTONE/BLADDER DZ. Q 1.11A "
phv00013223.v1 , Q20. (IF YES TO Q.16) How old were you the last time you binged regularly?  REC AGE. (Participants with European ancestry). DIGS2 
phv00173662.v1 , Ethnicity of participant as identified by patient/patient's parent 
phv00016674.v1 ," P18.c.1. Duration Fear/Worry/Chg, (Participants with European ancestry). DIGS3 "
phv00159451.v1 , Participant's gender as Male or Female 
phv00090543.v2 , Self-Staging Tanner Staging (stages 1 - 5) 
phv00019182.v1 , Q19f.  Other.  (Participants with European ancestry). DIGS4 
phv00167792.v1 , Age 
phv00085776.v2 ," MEXICAN, CHICANO, MEXICAN-AMERICAN "
phv00086452.v2 ," HORMONE REPLACEMENT THERAPY, AGE STARTED USE (FORMER USER) "
phv00032441.v1 , Mfa (monounsaturated fatty acids) 22:1 (gm) - Note: In a number of instances fairly large values were recorded.  Data users should be aware that these values are likely to  represent measurement or data recoding errors. 
phv00013580.v1 , K33. Have you ever had visions or seen things other people could not see? If yes: Did this occur when falling asleep or when waking up? Psychosis only. Ever. (Participants with European ancestry). DIGS2 
phv00160223.v1 , Gestational age. 
phv00019463.v1 , X13.  Explain.  (Participants with European ancestry). DIGS4 
phv00044526.v1 ," Major Depression, recurrent DSMIIIR, (Participants with European ancestry). DIGS4. Page1 "
phv00011940.v1 , D18. How old were you the last time you had any of these problems? REC AGE. (Participants with European ancestry). DIGS2 
phv00083039.v1 ," AGE STARTED HRT USE, CURRENT AND FORMER USERS "
phv00052680.v1 ," J23 Suspicion of abuse/dependence, (African American participants). DIGS4 "
phv00018039.v1 , G51.  Major responsibility.  (Participants with European ancestry). DIGS4 
phv00174515.v1 , Age 
phv00051960.v1 ," B2c Hospital/meds, (African American participants). DIGS4 "
phv00109008.v1 , Thiazide diuretics without k-sparing age 
phv00013531.v1 , K26. Have you ever heard two or more voices talking with each other? Psychosis only. Ever. (Participants with European ancestry). DIGS2 
phv00158775.v1 , Mexican - coded fields 
phv00061872.v2 , Simulation age at visit 1 
phv00071158.v2 , Age at first asthma symptoms.  This is the midpoint of the 10-year age of onset categories from the ACRN age of onset field. 
phv00019237.v1 , S1a2.  Age first time.  (Participants with European ancestry). DIGS4 
phv00072509.v2 , ASTHMA: AT WHAT AGE DID IT START? 
phv00085245.v2 ," DIABETES MEDS, AGE STARTED UNKNOWN "
phv00013320.v1 ," V18.  Thought insertion: the patient believes that thoughts that are not his own have been inserted into his mind. See SAPS Manual for detailed coding definitions (N. Andreason, 1984). (Participants with European ancestry). DIGS2 "
phv00017091.v1 , B6. Dosage (row 0).  (Participants with European ancestry). DIGS4 
phv00012755.v1 ," J29. Did you ever experience objections from family, friends, clergyman, boss or people at work or school because of your (drug) use? E MISC. (Participants with European ancestry). DIGS2 "
phv00052733.v1 ," J37 Cocaine, (African American participants). DIGS4 "
phv00015816.v1 ," J13.c. Always Able to Stop, (Participants with European ancestry). DIGS3 "
phv00035118.v1 , Did you find it difficult to stop worrying? (Participants with European ancestry) 
phv00025132.v1 , Similarities: age-corrected scaled score (WAIS for adults; WISC-R for adolescents) (quarterly visit 20) 
phv00059216.v2 , Simulation age at visit 1 
phv00167356.v1 , Participant's age 
phv00011932.v1 , D16g. Have you ever been bothered by any general problems such as: feeling sickly for most of your life?  IMPAIRMENT CODE. (Participants with European ancestry). DIGS2 
phv00012795.v1 ," J32e. While using (drug), did you ever have any psychological problems start or get worse, such as feeling depressed, feeling paranoid, trouble thinking clearly, hearing, smelling, or seeing things, or feeling jumpy? IF YES:) Specify: feeling jumpy or easily startled or nervous for more than 24 hours to the point that it interfered with your functioning? (Participants with European ancestry). DIGS2 "
phv00071827.v1 , Race 
phv00017397.v1 , E6. Serentil. Antipsychotics. (Participants with European ancestry). DIGS4 
phv00016238.v1 ," K62. Schizo Excess ETOH Recent, (Participants with European ancestry). DIGS3 "
phv00011974.v1 , E4. Have you ever taken medications for your nerves or any emotional or mental problems? Sedatives/Hypnotics/Minor Tranquilizers: Halcion. (Participants with European ancestry). DIGS2 
phv00013483.v1 , K15. Have you ever felt that your thoughts were broadcast so other people could hear them? Mania. (Participants with European ancestry). DIGS2 
phv00013171.v1 ," P36. Did you seek help from anyone, like a doctor or other professional?  (Agoraphobic). (Participants with European ancestry). DIGS2 "
phv00012242.v1 ," G13. Would you say your behavior was provocative, obnoxious, arrogant, or manipulative enough to cause problems for your family, friends, or co-workers? IF YES: specify. CURRENT EPISODE (PAST MONTH). (Participants with European ancestry). DIGS2 "
phv00103894.v1 , HAVE YOU LOST /CHANGED JOBS LAST 6 MONTH 
phv00066004.v1 ," B5u. Health insurance coverage. If you currently have health insurance, does it provide coverage for nutrition counseling "
phv00171791.v1 , Age of the participant at the most recent study visit for which we have Diabetes medication 
phv00118443.v2 , AGE DIAGNOSED-OTHER HEART DISEASE. Q 8 
phv00106223.v1 , THE AGE AT FIRST HEART ATTACK FOR NAME1 
phv00024267.v1 , Subject's ethnicity 
phv00128071.v1 , 27i: Income from gambling in past year? 
phv00091404.v1 , AGE FIRST CANCER DIAGNOSED        Q27C 
phv00054565.v1 , Are you a talkative person? (African American participants) 
phv00016906.v1 ," W17. Appropriate Social Behav, (Participants with European ancestry). DIGS3 "
phv00062096.v2 , Simulation age at visit 1 
phv00018527.v1 ," K1e.  Didn't dress, emotionless.  (Participants with European ancestry). DIGS4 "
phv00084756.v2 ," UNFAIRLY FIRED OR DENIED A PROMOTION, DURING LAST 12 MONTHS "
phv00013242.v1 ," S1d. Before you were 15 years old did you more than once use a weapon like a club, gun, or knife in a fight? (Participants with European ancestry). DIGS2 "
phv00013683.v1 ," K50. Did you make movements either with your whole body, parts of your body or your face that were unusual or had to be repeated over and over without any ability to control these movements yourself? Drugs. (Participants with European ancestry). DIGS2 "
phv00015361.v1 ," F73.c. Age Last Unclean Dep Ep, (Participants with European ancestry). DIGS3 "
phv00015279.v1 ," F40.d. Oth EMA, (Participants with European ancestry). DIGS3 "
phv00012405.v1 , I3a. How many drinks of (type of beverage) did you have on (day)? How long in minutes did it take you to consume that amount? Last Monday. BEER/LITE BEER Minutes. (Participants with European ancestry). DIGS2 
phv00121141.v2 , RACE DISCRIMINATED AT SCHOOL? Q 4a 
phv00016761.v1 ," Q15. Eating Out of Control, (Participants with European ancestry). DIGS3 "
phv00174357.v1 , Gender of participant 
phv00018711.v1 , K50a1.  Overactivity.  (Participants with European ancestry). DIGS4 
phv00012853.v1 ," L12. In general did you worry that people had it in for you? feel that most people were your enemies? have ideas that were not quite true, thinking others were referring to you when they really were not? Think people were making fun of you? (Participants with European ancestry). DIGS2 "
phv00044715.v1 , When was the last time you separated?   (RECORD AGE)  -  NOTE: The data values for this variable represent harmonized values; they were derived from information obtained with Sections A and E of the SSAGAI and SSAGAII questionnaires. 
phv00076223.v1 , Sex 
phv00015628.v1 ," I 3.a. Last Sun Liquor, (Participants with European ancestry). DIGS3 "
phv00012615.v1 , J12. Have you often given up or greatly reduced important activities with friends or relatives or at work while using marijuana? (Participants with European ancestry). DIGS2 
phv00167488.v1 , Sex of the participant 
phv00017388.v1 , E6. Clozaril. Antipsychotics. (Participants with European ancestry). DIGS4 
phv00018256.v1 , I22. Alcohol treatment.  (Participants with European ancestry). DIGS4 
phv00052570.v1 ," G72 Several episodes in year, (African American participants). DIGS4 "
phv00088584.v1 , Age at baseline LES (Life Experience Scale) 
phv00035249.v1 , Do you often feel 'fed-up'? (Participants with European ancestry) 
phv00012175.v1 , F37. During this episode of depression did you also experience any of these symptoms? (Mark YES or NO for each symptom). Distractibility. (Participants with European ancestry). DIGS2 
phv00019186.v1 , Q20.  Overly concerned with weight.  (Participants with European ancestry). DIGS4 
phv00013328.v1 ," V26. Derailment: a pattern of speech in which ideas slip off track onto ideas obliquely related or unrelated. See SAPS Manual for detailed coding definitions (N. Andreason, 1984). (Participants with European ancestry). DIGS2 "
phv00016713.v1 ," P36.a. Simple Upset About Fear, (Participants with European ancestry). DIGS3 "
phv00015769.v1 ," I37.a. Age First 2 ETOH Sx's/Mth, (Participants with European ancestry). DIGS3 "
phv00054531.v1 , Have you smoked more than 100 cigarettes in your lifetime? (African American participants) 
phv00052425.v1 ," G15 Too excited, (African American participants). DIGS4 "
phv00018191.v1 , H10b.  At least two symptoms.  (Participants with European ancestry). DIGS4 
phv00008532.v3 , AT JOB: WORK OFTEN STAYED WITH YOU AFTER WORKING HOURS 
phv00086897.v2 ," HORMONE REPLACEMENT THERAPY, AGE STOPPED USE (FORMER USER) "
phv00052327.v1 ," F49 Suicide attempt, (African American participants). DIGS4 "
phv00018660.v1 , K42.  Serious medical illness.  (Participants with European ancestry). DIGS4 
phv00044533.v1 ," Other affective diagnosis DSMIIIR, (Participants with European ancestry). DIGS4. Page1 "
